channel,profile,claimed_qualification,effective_qualification,claim_gate,dimension,outcome,proof_freshness,lifecycle_gate,stale_data_behavior,backing_facets,proof_refs,gap_kind
nightly,self_hosted,experimental,experimental,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json,
nightly,self_hosted,experimental,experimental,governed,migration_guidance,not_applicable,,,,,,
nightly,self_hosted,experimental,experimental,governed,lifecycle_windows,not_applicable,,,,,,
nightly,self_hosted,experimental,experimental,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
lts,managed,stable,stable,governed,update_communication,certified,current,governed,mirrored_labelled,update_availability,artifacts/release-proof/m5-update-lifecycle/update-availability.json,
lts,managed,stable,stable,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
lts,managed,stable,stable,governed,lifecycle_windows,certified,current,governed,offline_cached,support_window|compatibility_window|end_of_support,artifacts/release-proof/m5-update-lifecycle/support-window.json|artifacts/release-proof/m5-update-lifecycle/compatibility-window.json|artifacts/release-proof/m5-update-lifecycle/end-of-support.json,
lts,managed,stable,stable,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
lts,self_hosted,stable,stable,governed,update_communication,certified,current,governed,mirrored_labelled,update_availability,artifacts/release-proof/m5-update-lifecycle/update-availability.json,
lts,self_hosted,stable,stable,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
lts,self_hosted,stable,stable,governed,lifecycle_windows,certified,current,governed,offline_cached,support_window|compatibility_window|end_of_support,artifacts/release-proof/m5-update-lifecycle/support-window.json|artifacts/release-proof/m5-update-lifecycle/compatibility-window.json|artifacts/release-proof/m5-update-lifecycle/end-of-support.json,
lts,self_hosted,stable,stable,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
