consumer,consumer_owner,claimed_qualification,effective_qualification,gate_decision,facet,dimension,state_family,current_state,facet_owner,proof_ref,proof_freshness,facet_status,evidence_classes,claimed_postures,trust_boundaries,degraded_data_behavior,gap_kind
admin_console,admin_console_owner,stable,stable,governed,exception_waiver,claim_assurance,governance,pass,exception_waiver_owner,artifacts/release-proof/m5-assurance-route-governance/exception-waiver.json,current,mapped,waiver_record policy_bundle,managed self_hosted regulated,local_first control_plane,stale_banner_shown,
admin_console,admin_console_owner,stable,stable,governed,governance_freshness,governance_posture,governance,monitored,governance_dashboard_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,current,mapped,policy_bundle control_attestation,managed self_hosted regulated sovereign,local_first control_plane,stale_banner_shown,
admin_console,admin_console_owner,stable,stable,governed,service_ownership,governance_posture,governance,pass,service_ownership_owner,artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,current,mapped,ownership_register policy_bundle,managed self_hosted regulated sovereign,local_first control_plane,mirrored_labelled,
admin_console,admin_console_owner,stable,stable,governed,approval_ticket,route_provenance,approval,approved,approval_authority_owner,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,current,mapped,runtime_approval_record policy_bundle,managed self_hosted regulated,local_first control_plane,offline_cached,
help_about,help_about_owner,stable,stable,governed,assurance_claim,claim_assurance,assurance_claim,proven,assurance_center_owner,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,current,mapped,control_attestation policy_bundle boundary_manifest,managed self_hosted regulated sovereign,local_first control_plane,mirrored_labelled,
help_about,help_about_owner,stable,stable,governed,service_ownership,governance_posture,governance,pass,service_ownership_owner,artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,current,mapped,ownership_register policy_bundle,managed self_hosted regulated sovereign,local_first control_plane,mirrored_labelled,
help_about,help_about_owner,stable,stable,governed,capability_boundary,governance_posture,capability_boundary,within_boundary,capability_boundary_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,current,mapped,boundary_manifest control_attestation,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
procurement_evaluation,procurement_owner,stable,stable,governed,assurance_claim,claim_assurance,assurance_claim,proven,assurance_center_owner,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,current,mapped,control_attestation policy_bundle boundary_manifest,managed self_hosted regulated sovereign,local_first control_plane,mirrored_labelled,
procurement_evaluation,procurement_owner,stable,stable,governed,control_proof,claim_assurance,assurance_claim,attested,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,current,mapped,control_attestation policy_bundle,managed self_hosted regulated sovereign,local_first control_plane,offline_cached,
procurement_evaluation,procurement_owner,stable,stable,governed,exception_waiver,claim_assurance,governance,pass,exception_waiver_owner,artifacts/release-proof/m5-assurance-route-governance/exception-waiver.json,current,mapped,waiver_record policy_bundle,managed self_hosted regulated,local_first control_plane,stale_banner_shown,
procurement_evaluation,procurement_owner,stable,stable,governed,governance_freshness,governance_posture,governance,monitored,governance_dashboard_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,current,mapped,policy_bundle control_attestation,managed self_hosted regulated sovereign,local_first control_plane,stale_banner_shown,
procurement_evaluation,procurement_owner,stable,stable,governed,service_ownership,governance_posture,governance,pass,service_ownership_owner,artifacts/release-proof/m5-assurance-route-governance/service-ownership.json,current,mapped,ownership_register policy_bundle,managed self_hosted regulated sovereign,local_first control_plane,mirrored_labelled,
procurement_evaluation,procurement_owner,stable,stable,governed,capability_boundary,governance_posture,capability_boundary,within_boundary,capability_boundary_owner,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,current,mapped,boundary_manifest control_attestation,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
procurement_evaluation,procurement_owner,stable,stable,governed,route_hop,route_provenance,route_hop,attributed_remote,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,current,mapped,route_timeline provenance_ledger,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
procurement_evaluation,procurement_owner,stable,stable,governed,approval_ticket,route_provenance,approval,approved,approval_authority_owner,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,current,mapped,runtime_approval_record policy_bundle,managed self_hosted regulated,local_first control_plane,offline_cached,
procurement_evaluation,procurement_owner,stable,stable,governed,event_provenance,route_provenance,provenance,fully_traced,event_provenance_owner,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,current,mapped,provenance_ledger route_timeline,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
support_export,support_export_owner,stable,stable,governed,control_proof,claim_assurance,assurance_claim,attested,control_proof_owner,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,current,mapped,control_attestation policy_bundle,managed self_hosted regulated sovereign,local_first control_plane,offline_cached,
support_export,support_export_owner,stable,stable,governed,governance_freshness,governance_posture,governance,monitored,governance_dashboard_owner,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,current,mapped,policy_bundle control_attestation,managed self_hosted regulated sovereign,local_first control_plane,stale_banner_shown,
support_export,support_export_owner,stable,stable,governed,route_hop,route_provenance,route_hop,attributed_remote,route_explainability_owner,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,current,mapped,route_timeline provenance_ledger,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
support_export,support_export_owner,stable,stable,governed,approval_ticket,route_provenance,approval,approved,approval_authority_owner,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,current,mapped,runtime_approval_record policy_bundle,managed self_hosted regulated,local_first control_plane,offline_cached,
support_export,support_export_owner,stable,stable,governed,event_provenance,route_provenance,provenance,fully_traced,event_provenance_owner,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,current,mapped,provenance_ledger route_timeline,managed self_hosted regulated sovereign,local_first control_plane,local_lineage_only,
